customerid,name,city,age,department,salary,c036,aarav,chennai,49,marketing,101417
C001,Priya,Hyderabad,47,Marketing,124001,,,,,,
C002,Ananya,Pune,40,Support,73809,,,,,,
C003,Meera,Pune,25,Sales,124532,,,,,,
C004,Meera,Mumbai,49,Sales,32104,,,,,,
C005,Priya,Chennai,38,Marketing,116992,,,,,,
C006,Vivaan,Pune,48,Marketing,84432,,,,,,
C007,Rahul,Chennai,47,Sales,130710,,,,,,
C008,Meera,Mumbai,22,Sales,112336,,,,,,
C009,Rohan,Chennai,44,Support,84431,,,,,,
C010,Priya,Bengaluru,45,IT,82329,,,,,,
C011,Nisha,Bengaluru,35,IT,78944,,,,,,
C012,Aarav,Chennai,39,Marketing,126291,,,,,,
C013,Priya,Bengaluru,32,Sales,48560,,,,,,
C014,Diya,Bengaluru,35,Finance,131730,,,,,,
C015,Nisha,Pune,25,IT,129029,,,,,,
C016,Aditya,Pune,32,HR,66592,,,,,,
C017,Vivaan,Mumbai,27,Marketing,31335,,,,,,
C018,Rohan,Delhi,48,Support,53918,,,,,,
C019,Karan,Pune,46,Finance,146565,,,,,,
C020,Nisha,Pune,42,Sales,80951,,,,,,
C021,Aditya,Chennai,47,IT,141215,,,,,,
C022,Rahul,Mumbai,38,Sales,61568,,,,,,
C023,Karan,Chennai,39,IT,39313,,,,,,
C024,Diya,Hyderabad,59,Finance,47011,,,,,,
C025,Rahul,Pune,57,Finance,41106,,,,,,
C026,Vivaan,Delhi,51,IT,54139,,,,,,
C027,Meera,Pune,45,Finance,82192,,,,,,
C028,Karan,Hyderabad,45,Marketing,30438,,,,,,
C029,Meera,Mumbai,57,HR,58426,,,,,,
C030,Meera,Pune,47,Finance,46587,,,,,,
C031,Sneha,Mumbai,45,IT,131100,,,,,,
C032,Aarav,Bengaluru,23,Support,45270,,,,,,
C033,Nisha,Chennai,24,Sales,103645,,,,,,
C034,Meera,Mumbai,38,HR,86132,,,,,,
C035,Sneha,Pune,56,Marketing,131832,,,,,,
,,,,,,C037,Diya,Bengaluru,45,Support,116800
,,,,,,C038,Meera,Pune,56,Support,34152
,,,,,,C039,Karan,Hyderabad,44,Sales,68019
,,,,,,C040,Priya,Chennai,50,Sales,136314
